name,region,party,turnout,total,LIB,CON,NDP,BQ,GRN,PPC,IND
Cypress Hills—Grasslands,SK,CON,0.772,38415,1595,31140,3666,,719,1075,220
Desnethé—Missinippi—Churchill River,SK,CON,0.598,27257,7225,11531,7741,,543,217,
Moose Jaw—Lake Centre—Lanigan,SK,CON,0.769,44984,2517,31993,7660,,1201,1613,
Prince Albert,SK,CON,0.698,39710,4107,26891,6925,,839,778,
Regina—Lewvan,SK,CON,0.759,51614,6826,27088,14767,,2099,573,201
Regina—Qu'Appelle,SK,CON,0.707,38755,4543,24463,7685,,1282,513,78
Regina—Wascana,SK,CON,0.763,45355,15242,22418,5801,,1316,450,128
Saskatoon West,SK,CON,0.647,38985,2863,18597,15708,,1042,775,
Saskatoon—Grasswood,SK,CON,0.776,49439,8419,26336,12672,,1320,692,
Saskatoon—University,SK,CON,0.773,47027,6146,24514,13994,,1401,667,
Souris—Moose Mountain,SK,CON,0.802,41550,1718,35067,3214,,681,702,
Yorkton—Melville,SK,CON,0.74,38769,2488,29523,4747,,1070,941,
Northwest Territories,NT,LIB,0.543,16291,6467,4157,3640,,1731,296,
Nunavut,NU,NDP,0.511,9454,2918,2469,3861,,206,,
Yukon,YT,LIB,0.732,21017,7034,6881,4617,,2201,284,
